5	4	14
v1	v2	v3	v4	v5
f1	f2	f3	f4
e1_1	e1_2	e2_1	e2_2	e3_1	e3_2	e4_1	e4_2	e5_1	e5_2	e6_1	e6_2	e7_1	e7_2
v1	0.000,2.000	e1_2
v2	0.000,4.000	e1_1
v3	2.000,3.000	e3_1	
v4	5.000,4.000	e7_1
v5	4.000,5.000	e5_1
f1	e3_1	NULL	
f2	e4_1	NULL
f3	e4_2	NULL
f4	NULL	1	e1_2
e1_1	v2	e1_2	f1	e2_1	e3_1	
e1_2	v1	e1_1	f4	e5_2	e2_2
e2_1	v1	e2_2	f1	e3_1	e1_1
e2_2	v3	e2_1	f4	e1_2	e6_2
e3_1	v3	e3_2	f1	e1_1	e2_1
e3_2	v2	e3_1	f2	e4_1	e5_1
e4_1	v3	e4_2	f2	e5_1	e3_2
e4_2	v5	e4_1	f3	e6_1	e7_1
e5_1	v5	e5_2	f2	e3_2	e4_1
e5_2	v2	e5_1	f4	e7_2	e1_2
e6_1	v3	e6_2	f3	e7_1	e4_2
e6_2	v4	e6_1	f4	e2_2	e7_2
e7_1	v4	e7_2	f3	e4_2	e6_1
e7_2	v5	e7_1	f4	e6_2	e5_2
