FNNidx:8309 FNNdist:1.62486e+06 BRTidx:8309 BRTdist1.62486e+06
FNNidx:7535 FNNdist:1.82534e+06 BRTidx:7535 BRTdist1.82534e+06
FNNidx:4469 FNNdist:1.12742e+06 BRTidx:4469 BRTdist1.12742e+06
FNNidx:252 FNNdist:1.26258e+06 BRTidx:252 BRTdist1.26258e+06
FNNidx:1881 FNNdist:1.09587e+06 BRTidx:1881 BRTdist1.09587e+06
FNNidx:347 FNNdist:1.12015e+06 BRTidx:347 BRTdist1.12015e+06
FNNidx:4033 FNNdist:2.9018e+06 BRTidx:4033 BRTdist2.9018e+06
FNNidx:910 FNNdist:1.10985e+06 BRTidx:910 BRTdist1.10985e+06
FNNidx:9580 FNNdist:1.55431e+06 BRTidx:9580 BRTdist1.55431e+06
FNNidx:2096 FNNdist:1.96311e+06 BRTidx:2096 BRTdist1.96311e+06
FNNidx:7663 FNNdist:726678 BRTidx:7663 BRTdist726678
FNNidx:7970 FNNdist:1.85653e+06 BRTidx:7970 BRTdist1.85653e+06
FNNidx:8398 FNNdist:1.51142e+06 BRTidx:8398 BRTdist1.51142e+06
FNNidx:825 FNNdist:2.56799e+06 BRTidx:825 BRTdist2.56799e+06
FNNidx:5533 FNNdist:1.97271e+06 BRTidx:5533 BRTdist1.97271e+06
FNNidx:8588 FNNdist:1.96391e+06 BRTidx:8588 BRTdist1.96391e+06
FNNidx:4153 FNNdist:3.28338e+06 BRTidx:4153 BRTdist3.28338e+06
FNNidx:80 FNNdist:1.91569e+06 BRTidx:80 BRTdist1.91569e+06
FNNidx:3059 FNNdist:1.22828e+06 BRTidx:3059 BRTdist1.22828e+06
FNNidx:6713 FNNdist:1.63025e+06 BRTidx:6713 BRTdist1.63025e+06
FNNidx:2693 FNNdist:2.49345e+06 BRTidx:2693 BRTdist2.49345e+06
FNNidx:7522 FNNdist:1.72069e+06 BRTidx:7522 BRTdist1.7207e+06
FNNidx:4282 FNNdist:398416 BRTidx:4282 BRTdist398416
FNNidx:9298 FNNdist:2.38528e+06 BRTidx:9298 BRTdist2.38528e+06
FNNidx:7509 FNNdist:1.21587e+06 BRTidx:7509 BRTdist1.21587e+06
FNNidx:7553 FNNdist:1.71853e+06 BRTidx:7553 BRTdist1.71853e+06
FNNidx:1126 FNNdist:1.93053e+06 BRTidx:1126 BRTdist1.93053e+06
FNNidx:6329 FNNdist:1.43129e+06 BRTidx:6329 BRTdist1.43129e+06
FNNidx:2678 FNNdist:2.43732e+06 BRTidx:2678 BRTdist2.43732e+06
FNNidx:3712 FNNdist:889731 BRTidx:3712 BRTdist889731
FNNidx:2124 FNNdist:865940 BRTidx:2124 BRTdist865940
FNNidx:5742 FNNdist:743346 BRTidx:5742 BRTdist743346
FNNidx:6205 FNNdist:864181 BRTidx:6205 BRTdist864181
FNNidx:7858 FNNdist:2.17842e+06 BRTidx:7858 BRTdist2.17842e+06
FNNidx:4066 FNNdist:1.66559e+06 BRTidx:4066 BRTdist1.66559e+06
